Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Chad,1995,World,All Products,Tariff,Duty Free Imports (US$ Thousand),1566.509
Chad,2019,...,...,Development,Trade Balance (current US$ Mil),-122.882485
Chad,2019,...,...,Development,GDP (current US$ Mil),11314.951343
Chad,1995,...,...,Tariff,No. Of Tariff Agreement,7
Chad,2019,...,...,Others,Population,15946876
Chad,2019,...,...,Others,Ease of Doing Business Rank,182
Chad,2019,...,...,Others,Trading Across Borders Rank,173
Chad,2019,...,...,Others,CPIA Trade Ratings,3
Chad,2018,...,...,Others,LPI Rank,123
Chad,2018,...,...,Others,LPI Score,2.42
Chad,1995,World,Raw materials,Tariff,Weighted Average (%),19.0153256676885
Chad,1995,World,Intermediate goods,Tariff,Weighted Average (%),14.2739364667875
Chad,1995,World,Consumer goods,Tariff,Weighted Average (%),15.0383400173582
Chad,1995,World,Capital goods,Tariff,Weighted Average (%),13.5658043196189
Chad,1995,World,All Products,Tariff,Simple Average (%),17.0800973009138
Chad,1995,World,All Products,Tariff,Weighted Average (%),14.5800678988311
Chad,1995,World,All Products,Tariff,Maximum Rate (%),30
Chad,1995,World,All Products,Tariff,Duty Free Tariff Lines Share (%),0.535659626568717
Chad,2019,...,...,Development,Trade Balance (% of GDP),-1.08601868
Chad,2019,...,...,Development,Trade in services (% of GDP),
Chad,2019,...,...,Development,Trade (% of GDP),74.57052556
Chad,2019,...,...,Development,"GNI per capita, Atlas method (current US$)",700
