Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
"Bahamas, The",2018,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,391.65748274
"Bahamas, The",2018,Ireland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,28.9537219
"Bahamas, The",2018,Panama,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,28.0957373
"Bahamas, The",2018,Turks and Caicos Isl.,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,18.80112807
"Bahamas, The",2018,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11.38378266
"Bahamas, The",2018,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2954.96155481001
"Bahamas, The",2018,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,122.83716193
"Bahamas, The",2018,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,53.8269304699999
"Bahamas, The",2018,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,50.60931023
"Bahamas, The",2018,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,36.60975933
"Bahamas, The",2018,World,Animal,Export,Export(US$ Mil),82.34357104
"Bahamas, The",2018,World,Vegetable,Export,Export(US$ Mil),0.45474997
"Bahamas, The",2018,World,Food Products,Export,Export(US$ Mil),3.08047102
"Bahamas, The",2018,World,Minerals,Export,Export(US$ Mil),17.49354404
"Bahamas, The",2018,World,Fuels,Export,Export(US$ Mil),101.55828842
"Bahamas, The",2018,World,Chemicals,Export,Export(US$ Mil),65.65416448
"Bahamas, The",2018,World,Plastic or Rubber,Export,Export(US$ Mil),90.6773925
"Bahamas, The",2018,World,Hides and Skins,Export,Export(US$ Mil),0.12380605
"Bahamas, The",2018,World,Wood,Export,Export(US$ Mil),2.1644057
"Bahamas, The",2018,World,Textiles and Clothing,Export,Export(US$ Mil),3.27026365
"Bahamas, The",2018,World,Footwear,Export,Export(US$ Mil),0.02494129
"Bahamas, The",2018,World,Stone and Glass,Export,Export(US$ Mil),3.7792684
"Bahamas, The",2018,World,Metals,Export,Export(US$ Mil),27.38875702
"Bahamas, The",2018,World,Mach and Elec,Export,Export(US$ Mil),58.34052698
"Bahamas, The",2018,World,Transportation,Export,Export(US$ Mil),58.5338078
"Bahamas, The",2018,World,Miscellaneous,Export,Export(US$ Mil),9.30496388
"Bahamas, The",2018,World,Raw materials,Export,Export(US$ Mil),83.55933143
"Bahamas, The",2018,World,Intermediate goods,Export,Export(US$ Mil),154.99641337
"Bahamas, The",2018,World,Consumer goods,Export,Export(US$ Mil),217.26361913
"Bahamas, The",2018,World,Capital goods,Export,Export(US$ Mil),68.36945348
"Bahamas, The",2018,World,Raw materials,Import,Import(US$ Mil),300.1697411
"Bahamas, The",2018,World,Intermediate goods,Import,Import(US$ Mil),345.07901049
"Bahamas, The",2018,World,Consumer goods,Import,Import(US$ Mil),2216.71391207
"Bahamas, The",2018,World,Capital goods,Import,Import(US$ Mil),529.19315144
"Bahamas, The",2018,World,All Products,Export,Exports (in US$ Mil),524.19292224
"Bahamas, The",2018,World,All Products,Import,Imports (in US$ Mil),3523.97318413001
"Bahamas, The",2018,World,All Products,Tariff,Duty Free Imports (US$ Thousand),1321770.571
"Bahamas, The",2018,...,...,Tariff,No. Of Tariff Agreement,2
"Bahamas, The",2018,...,...,Import,No. Of Import partners,109
"Bahamas, The",2018,...,...,Import,No. Of Import products,3971
"Bahamas, The",2018,...,...,Export,No. Of Export partners,63
"Bahamas, The",2018,...,...,Export,No. Of Export products,1331
"Bahamas, The",2019,...,...,Others,Population,389482
"Bahamas, The",2019,...,...,Others,Ease of Doing Business Rank,119
"Bahamas, The",2019,...,...,Others,Trading Across Borders Rank,161
"Bahamas, The",2019,...,...,Others,CPIA Trade Ratings,
"Bahamas, The",2018,...,...,Others,LPI Rank,112
"Bahamas, The",2018,...,...,Others,LPI Score,2.53
"Bahamas, The",2018,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,74.7163
"Bahamas, The",2018,Ireland,All Products,Export,Partner share(%)-Top 5 Export Partner,5.5235
"Bahamas, The",2018,Panama,All Products,Export,Partner share(%)-Top 5 Export Partner,5.3598
"Bahamas, The",2018,Turks and Caicos Isl.,All Products,Export,Partner share(%)-Top 5 Export Partner,3.5867
"Bahamas, The",2018,France,All Products,Export,Partner share(%)-Top 5 Export Partner,2.1717
"Bahamas, The",2018,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,83.8531
"Bahamas, The",2018,Unspecified,All Products,Import,Partner share(%)-Top 5 Import Partner,3.4858
"Bahamas, The",2018,China,All Products,Import,Partner share(%)-Top 5 Import Partner,1.5275
"Bahamas, The",2018,United Kingdom,All Products,Import,Partner share(%)-Top 5 Import Partner,1.4361
"Bahamas, The",2018,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,1.0389
"Bahamas, The",2018,World,Animal,Export,Export Product share(%),15.7086
"Bahamas, The",2018,World,Vegetable,Export,Export Product share(%),0.0868
"Bahamas, The",2018,World,Food Products,Export,Export Product share(%),0.5877
"Bahamas, The",2018,World,Minerals,Export,Export Product share(%),3.3372
"Bahamas, The",2018,World,Fuels,Export,Export Product share(%),19.3742
"Bahamas, The",2018,World,Chemicals,Export,Export Product share(%),12.5248
"Bahamas, The",2018,World,Plastic or Rubber,Export,Export Product share(%),17.2985
"Bahamas, The",2018,World,Hides and Skins,Export,Export Product share(%),0.0236
"Bahamas, The",2018,World,Wood,Export,Export Product share(%),0.4129
"Bahamas, The",2018,World,Textiles and Clothing,Export,Export Product share(%),0.6239
"Bahamas, The",2018,World,Footwear,Export,Export Product share(%),0.0048
"Bahamas, The",2018,World,Stone and Glass,Export,Export Product share(%),0.721
"Bahamas, The",2018,World,Metals,Export,Export Product share(%),5.2249
"Bahamas, The",2018,World,Mach and Elec,Export,Export Product share(%),11.1296
"Bahamas, The",2018,World,Transportation,Export,Export Product share(%),11.1665
"Bahamas, The",2018,World,Miscellaneous,Export,Export Product share(%),1.7751
"Bahamas, The",2018,World,Raw materials,Export,Export Product share(%),15.9406
"Bahamas, The",2018,World,Intermediate goods,Export,Export Product share(%),29.5686
"Bahamas, The",2018,World,Consumer goods,Export,Export Product share(%),41.4473
"Bahamas, The",2018,World,Capital goods,Export,Export Product share(%),13.0428
"Bahamas, The",2018,World,Raw materials,Import,Import Product share(%),8.5179
"Bahamas, The",2018,World,Intermediate goods,Import,Import Product share(%),9.7923
"Bahamas, The",2018,World,Consumer goods,Import,Import Product share(%),62.9038
"Bahamas, The",2018,World,Capital goods,Import,Import Product share(%),15.0169
"Bahamas, The",2018,World,Raw materials,Tariff,Weighted Average (%),17.8333672866557
"Bahamas, The",2018,World,Intermediate goods,Tariff,Weighted Average (%),23.9265016819207
